CardsDonated,ClanJoined,Cohort,Country,DaysToReachTheater2,DaysToReachTheater3,DaysToReachTheater4,DaysToReachTheater5,FirstPurchaseTheater,Number of Records,PayingUsers,PlayTimeToReachTheater2,PlayTimeToReachTheater3,PlayTimeToReachTheater4,PlayTimeToReachTheater5,StartingGoldHurryCrate,StartingGoldPurchaseCrate,StartingGoldPurchaseSupply,T2Draw,T2Losses,T2Wins,T3Draw,T3Losses,T3Wins,T4Draw,T4Losses,T4Wins,Platform,userID
0,1,14/04/2017,-1,1,1,3,12,,1,0,16,129,230,586,442,,,1,18,14,2,7,18,11,32,37,PS4,9ayT1EdzOUukSVW5_En5cg
0,1,14/04/2017,-1,1,1,3,22,,1,0,10,151,295,891,95,220,17,3,3,11,1,4,17,3,27,28,PS4,h1HD7l1yPEqvTRc1IpyhUg
2,1,14/04/2017,-1,1,2,4,15,,1,0,16,177,536,1837,177,170,171,4,17,14,12,70,59,38,191,141,PS4,R_e6AZj3sE24y_dT8mhTPQ
827,1,14/04/2017,-1,1,1,2,7,,1,0,26,162,287,598,346,110,192,1,10,15,2,10,17,7,39,41,PS4,Sa6vX4ftRk68wdxCaJijZw
0,0,14/04/2017,-1,2,2,3,5,4,1,1,21,123,245,982,121,,135,,10,9,2,14,22,4,20,17,PS4,TGKd6aRu3U-dz6Oeh9GyQg
0,0,14/04/2017,AU,1,3,14,35,,1,0,15,219,414,1012,121,110,,2,11,15,2,23,22,1,65,43,PS4,3zWZsi2DikqKD-BWViuFfA
0,0,14/04/2017,AU,1,4,6,14,4,1,1,12,122,228,611,93,110,42,2,8,12,2,4,18,,4,8,PS4,m3vYsu-O70GSAJnkDOVCbg
0,0,14/04/2017,BE,1,1,3,7,3,1,1,20,87,322,572,128,,122,,2,14,,3,2,,,,PS4,B2jAAyZAOUmWVAy6L0t-iA
34,1,14/04/2017,BE,1,2,4,9,,1,0,12,61,152,271,58,220,6,,,13,3,3,15,1,4,13,PS4,UazD0_MwBEqPm0zH8QGQQw
0,1,14/04/2017,BR,1,4,13,23,,1,0,25,502,1701,3803,232,220,,4,122,14,23,431,136,14,266,163,PS4,1ANu3rxWCkSwNaDVuBAUNQ
0,1,14/04/2017,BR,1,3,7,20,4,1,1,20,236,412,814,18,110,126,4,12,14,1,9,17,2,13,18,PS4,pceVfgVLtEm4YL8paEZRXA
0,0,14/04/2017,CA,2,7,13,21,3,1,1,38,257,572,944,191,,,1,31,12,,6,5,,,,PS4,bsKSY4_TOkiLu4o9p562yw
0,0,14/04/2017,CA,1,3,4,21,2,1,1,18,226,414,922,3,220,27,1,12,4,,,,,,,PS4,DrEj94EU1EyXNrNowEPHOQ
331,1,14/04/2017,CA,3,5,9,15,,1,0,8,85,261,624,142,,315,,5,13,,5,16,,4,21,PS4,O_9Tbl-Ee0Wr0PhizZMFQg
39,1,14/04/2017,CA,1,3,4,17,,1,0,7,51,158,361,94,,205,,3,11,,7,15,3,8,24,PS4,QI5mez_LOU2EjTX2LXalCQ
11,1,14/04/2017,CA,1,1,4,7,,1,0,15,164,511,710,254,,,1,20,15,5,28,18,,10,19,PS4,XEGOJnXxeEq6EamKgKi43A
461,1,14/04/2017,CH,1,2,2,4,,1,0,12,87,205,523,159,,593,1,3,13,1,5,21,8,21,30,PS4,LSSoTZhRpE-8ME3fJXYLLQ
0,1,14/04/2017,DE,1,8,19,29,,1,0,13,135,272,413,31,,,2,8,14,,10,13,,10,19,PS4,-tNxLCkvK0abNCc1GtDkjw
58,1,14/04/2017,DE,2,4,10,20,,1,0,15,89,319,420,386,,20,1,,12,,,16,2,5,28,PS4,1e8PxFQu0k6xM3WPb-wt2Q
1,1,14/04/2017,DE,1,2,3,7,,1,0,14,108,188,482,252,,,4,3,13,,7,16,4,11,26,PS4,2SrKdh98YEKZAPAT4CVGIw
16,1,14/04/2017,DE,1,3,15,32,,1,0,11,62,131,228,,,360,,5,11,,5,9,2,5,10,PS4,6mN6oQC5FUOTDtSqu9q1ZQ
0,0,14/04/2017,DE,1,2,24,50,,1,1,11,902,3113,3383,233,,37,2,5,12,4,10,11,,1,4,PS4,AqLe21odq0m8Ni3vhwkDdw
0,1,14/04/2017,DE,1,1,4,20,,1,0,18,153,436,934,284,,,3,6,16,5,19,20,6,61,53,PS4,CJ6uy9TMK06vPd_aHfyqpg
0,0,14/04/2017,DE,1,2,5,7,,1,0,12,129,248,460,333,,19,2,10,14,2,10,17,1,19,24,PS4,Il927qnvnEKvhJ7H05NzXQ
0,1,14/04/2017,DE,1,7,9,18,2,1,1,15,123,255,946,6,220,24,1,6,9,,,,,,,PS4,kq3af-2tRUmJbrBFhJsEDA
0,0,14/04/2017,DE,1,6,18,25,,1,0,22,154,307,412,31,,,1,9,13,2,10,11,1,5,15,PS4,L2_tk5I-M0-6-P1buqp5Eg
1,1,14/04/2017,DE,1,2,8,20,3,1,1,20,212,1267,2100,13,220,18,1,19,14,8,64,42,,,,PS4,MXMTzkg7yEeh8TY7XGTpKQ
0,0,14/04/2017,DE,1,1,3,12,3,1,1,10,71,256,629,246,,6,,5,14,,16,10,,,,PS4,PatvyfFpS0aebycyUVEWEQ
0,1,14/04/2017,DE,2,4,7,30,2,1,1,15,200,345,943,150,,,1,20,12,,,,,,,PS4,pBn51sIPxkuEaLYg1_U6eQ
0,1,14/04/2017,DE,1,2,7,15,,1,0,12,102,283,665,86,,185,1,6,14,3,14,24,5,25,30,PS4,RDm6JfcnH0CHYrI8W9Hc3g
0,0,14/04/2017,DE,1,5,9,19,2,1,1,26,295,504,961,,220,,1,11,3,,,,,,,PS4,TZH9YGvvuEC2AKkp6NlVrA
0,1,14/04/2017,DE,1,1,2,7,,1,0,13,70,855,1557,274,,6,,3,12,6,38,28,16,49,56,PS4,V7LzldlbK0SukMk4aF7tYw
29,1,14/04/2017,DE,1,1,3,31,,1,0,21,230,382,1684,349,,288,2,26,15,2,17,18,24,188,119,PS4,Xrg36un6y0O6bMxjQaA4Cg
3,1,14/04/2017,DE,1,1,7,16,,1,0,15,94,410,767,148,,34,1,5,14,3,20,20,5,24,25,PS4,ZdBwwIgftEGIJnkGFSw1sQ
0,1,14/04/2017,DE,2,3,8,12,,1,0,11,75,123,231,274,,14,,4,14,,1,8,2,8,18,PS4,zLk54XJJmEGi7taZwWW1Hw
33,1,14/04/2017,DK,1,2,8,17,4,1,1,12,59,141,384,242,,,1,1,11,,1,12,,8,16,PS4,xEswecVB1EO9VN8Ch8FlsQ
87,1,14/04/2017,EE,1,4,8,16,,1,0,7,55,119,306,80,220,,,1,14,,4,14,1,21,29,PS4,Hxus34B540GCK7tghiBXQw
0,1,14/04/2017,EG,1,3,5,9,,1,0,9,85,262,376,22,110,148,,4,12,1,12,18,1,7,16,PS4,Ol3HSMIPi02MRM7dS3HcBg
14,1,14/04/2017,ES,1,1,7,29,,1,0,17,147,517,1114,263,,138,,17,14,6,43,30,12,82,72,PS4,N0L1eOuuNkOltrNEMZxdaQ
4,1,14/04/2017,ES,1,3,6,11,,1,0,12,89,183,288,25,,118,2,2,12,2,7,15,,4,15,PS4,QnDvliP-aku5bPOuDNaRzw
0,0,14/04/2017,FR,2,2,3,14,,1,0,40,155,360,807,232,110,,,14,8,,21,20,4,43,29,PS4,tw5-EjZmtkuTDb4iWiVKgw
0,0,14/04/2017,FR,1,3,6,10,2,1,1,19,552,1326,1894,,,,,1,5,,,,,,,PS4,UIFjQTMxw0ipdHAuypGvlA
4,1,14/04/2017,GB,1,6,6,8,,1,0,9,107,175,310,49,,220,2,4,8,,3,16,,5,13,PS4,bI25jhIVdUm5s8gfI6fBfA
2,1,14/04/2017,GB,1,1,2,17,,1,0,15,179,492,973,58,110,85,1,21,13,6,41,28,6,75,70,PS4,DvckKC3LyEONoU0fCHoqMg
102,1,14/04/2017,GB,1,5,7,29,,1,0,22,337,487,1646,88,,,2,20,14,2,10,14,24,88,71,PS4,FnGpEzVsMkO4LzB-D8pqWg
0,1,14/04/2017,GB,1,1,3,10,3,1,1,14,105,216,385,200,,6,1,10,12,1,8,14,,,,PS4,tIWHNXNCHEGB82QGX59rYQ
1,1,14/04/2017,GB,1,6,13,33,,1,0,15,279,394,1008,20,,,5,16,12,1,8,13,10,62,36,PS4,Zs32q2XBE0K6t0RKd1HkrQ
280,1,14/04/2017,GR,1,1,1,13,,1,0,21,171,277,843,350,,6,,1,15,2,7,19,9,59,58,PS4,WpgL5_MOLEq4WVDkVsPwwA
1,1,14/04/2017,IE,2,2,6,10,,1,0,13,103,361,454,193,,116,1,9,12,1,16,20,1,4,19,PS4,egjULxNR-02f9FqS5xs-4g
0,0,14/04/2017,IE,1,1,3,20,,1,0,13,106,217,1541,307,,9,1,12,13,2,30,27,21,135,99,PS4,V842cOJIn0CEI4hNlf25eQ
48,1,14/04/2017,IR,1,2,3,5,,1,0,13,71,194,519,169,110,,,,12,1,11,20,6,34,40,PS4,CAZbg5dZ4ECQA0gwsVyikQ
5,1,14/04/2017,IT,1,2,6,10,,1,0,14,118,197,261,112,,123,2,6,13,,1,16,1,1,9,PS4,86M0Zy9umkGUW1aIBOxBkg
428,1,14/04/2017,IT,1,5,5,12,,1,0,10,93,163,367,88,,,1,1,17,,,2,3,11,25,PS4,dCGR82w_Hk-YE3WLEPK4hQ
134,1,14/04/2017,IT,1,1,6,32,,1,0,20,206,883,5278,69,140,,,20,13,7,134,76,18,370,200,PS4,N-2WOZ-03kysF_dXDImq0w
0,1,14/04/2017,IT,1,2,5,24,,1,0,14,140,272,551,234,,48,2,12,14,1,10,19,7,45,35,PS4,tNU19v_rBkOoLaopV9PF9A
5,1,14/04/2017,IT,1,2,4,14,,1,0,14,89,210,479,133,,66,,3,11,1,4,14,5,18,24,PS4,xPXAjDLKGkCbjLDJX1KbVA
130,1,14/04/2017,JP,1,3,4,9,,1,0,13,118,174,265,,,105,1,1,9,,,12,1,1,17,PS4,aiZDdGze60i0fFbpAQoTmw
182,1,14/04/2017,JP,1,3,4,8,,1,0,10,93,213,387,,,42,,,13,3,6,14,1,9,18,PS4,X-o38uQzDEy0AgA9T0lSUQ
62,1,14/04/2017,LT,1,2,5,12,,1,0,45,198,826,1349,19,,40,,19,14,3,39,33,6,41,38,PS4,MfqqLw5Wv0OuP6XlhrYKeg
0,1,14/04/2017,MX,1,5,12,22,,1,0,29,222,423,595,256,,,1,15,16,3,20,20,7,11,22,PS4,i9iE-53oB0WxeCFuEW67dQ
0,0,14/04/2017,NL,1,5,12,17,,1,0,10,248,408,535,254,,33,3,3,12,,2,10,1,5,12,PS4,q3vyIzEz7ka26vJeeoJ64w
4,1,14/04/2017,NL,1,3,5,18,,1,0,18,165,264,700,142,,241,1,18,11,2,7,18,5,81,58,PS4,vgkskAc7BUeO_zbqoz618Q
0,1,14/04/2017,PL,1,2,6,8,,1,0,8,71,149,229,23,,,,5,16,,7,12,,9,14,PS4,jLQPwe-ar0W-LFztwgkQlg
0,0,14/04/2017,RU,1,3,9,23,,1,0,17,255,942,2462,254,,,,15,15,8,52,36,22,114,72,PS4,5odvOcsvBEa3LTE_voJEuw
0,1,14/04/2017,RU,1,2,5,16,,1,0,17,118,587,997,160,,130,,6,15,2,10,17,10,31,36,PS4,LNVGFwC4skigLN-VUwG_5Q
0,1,14/04/2017,SA,1,3,6,9,,1,0,11,67,107,152,48,,,,2,15,,1,9,,,10,PS4,11fNhUwzBUayMlST-oULQQ
0,0,14/04/2017,SE,1,6,11,20,,1,0,25,180,357,605,358,,82,1,12,13,,7,13,1,12,17,PS4,DG7_MYEhYUS0m-JL8GcrAQ
0,0,14/04/2017,SE,1,2,6,10,3,1,1,12,114,298,436,251,,,2,2,17,1,9,13,,,,PS4,ZSRAfq7YN0K3cMNuVrUvig
43,1,14/04/2017,UA,1,4,8,11,,1,0,19,90,174,256,143,,38,,,13,,2,16,,2,16,PS4,aARKvR_vSkeK8_Ql-gwpKA
408,1,14/04/2017,UA,1,1,1,2,,1,0,13,102,208,481,204,,67,,1,12,1,6,17,10,16,26,PS4,bE297lN4QEuh1uRodDrdlA
0,0,14/04/2017,US,1,7,12,17,,1,0,30,209,490,584,69,220,48,2,17,13,,13,13,2,9,17,PS4,-uNOkWWgm02n8m3TRkLb0g
0,0,14/04/2017,US,1,4,10,14,,1,0,20,175,370,503,185,,92,2,21,12,1,27,25,2,13,20,PS4,2MA-kErnYk-aLjLEYx5i7Q
9,1,14/04/2017,US,1,9,13,27,,1,0,17,412,701,1277,115,220,53,4,70,16,5,38,25,3,82,52,PS4,8l14kctxuUW1gfnvlLrKCA
0,1,14/04/2017,US,1,2,6,21,,1,0,27,131,193,395,258,,,1,7,12,,3,14,2,12,21,PS4,8PAB2xQ9EEykAgN7L_SM6w
0,1,14/04/2017,US,1,2,2,3,2,1,1,15,108,157,295,184,,31,1,1,10,,,,,,,PS4,d5MYg1kME06k9oQlSKrX3w
0,1,14/04/2017,US,1,3,4,6,,1,0,13,186,285,659,155,,18,,5,14,3,7,16,11,40,42,PS4,dClcSjmi0ECENUSrZ8V1Mw
0,0,14/04/2017,US,1,2,2,2,3,1,1,16,488,642,765,204,,45,1,1,14,1,1,1,,,,PS4,ExRULOHgEkGV-poHLNAmcQ
2,1,14/04/2017,US,1,3,5,14,,1,0,8,49,159,321,230,,101,,,14,2,8,18,4,22,22,PS4,jA9rTP3rhUKhyKdRfisGPg
4,1,14/04/2017,US,1,2,3,4,3,1,1,12,103,240,385,22,220,,,4,13,,,,,,,PS4,Jo0O7tQL7kCy00RklZ76pA
0,1,14/04/2017,US,1,9,11,23,,1,0,21,977,1285,2310,72,110,142,2,68,15,5,48,34,10,70,57,PS4,LkeQVAlCrEy3NEJUlgcU8g
1,1,14/04/2017,US,1,1,1,10,,1,0,11,82,182,405,157,,80,1,3,13,2,4,16,4,10,20,PS4,Nhi3jGtqmUu5STr2DWb7mQ
6,1,14/04/2017,US,1,3,3,4,,1,0,12,112,300,571,210,,48,1,2,17,1,2,12,3,11,22,PS4,pfAZVrSIIUCi8n_xqBfBoQ
0,1,14/04/2017,US,1,1,8,21,2,1,1,18,179,560,1015,48,,201,,4,5,,,,,,,PS4,rWlieWnrKkmetAudJL4Jtw
45,1,14/04/2017,US,1,3,11,28,,1,0,17,153,311,484,239,,75,1,11,14,2,6,18,17,25,38,PS4,TsgyktYQakCQ__dpi-4WDw
3,1,14/04/2017,US,1,2,3,8,2,1,1,19,139,205,470,21,,233,1,7,6,,,,,,,PS4,ytXP0twpL0SEvvbKK5ISTA
0,0,14/04/2017,US,1,2,5,26,3,1,1,20,101,189,982,141,110,,,3,14,,,3,,,,PS4,YyqTrOTcdEa69f0R9xqaWw
607,1,14/04/2017,US,1,3,5,9,,1,0,9,83,133,218,262,,,1,,11,,,6,,1,15,PS4,zjn0qDkkyUGCT5VQXM6_Lw
0,1,14/04/2017,VE,1,1,1,4,,1,0,14,80,164,369,260,,,1,7,13,1,8,16,2,24,30,PS4,Wi1eR40OcES8bnEBY-hHow
0,1,14/04/2017,BR,1,1,2,9,,1,0,10,100,420,819,275,,,,10,12,,40,35,12,101,80,STEAM_PC,Sqv_UkzzlESqBUOIxxy8Ug
4,1,14/04/2017,DE,1,1,6,18,,1,0,12,145,363,1124,316,,,2,16,13,,19,28,6,96,71,STEAM_PC,7aOh5cP_qEuNlW2AfkvjLw
4,1,14/04/2017,DE,1,3,8,13,,1,0,8,187,777,895,42,110,120,,6,12,1,6,17,2,2,14,STEAM_PC,ecYmpSt4ekWZlH28J5yI3Q
124,1,14/04/2017,-1,1,2,6,13,5,1,1,23,114,508,1316,267,,94,1,16,13,6,61,39,18,103,72,XBOXONE,0mXRFR0nJESs4iHj99ydTw
7,1,14/04/2017,BR,1,10,18,30,,1,0,24,228,353,702,238,330,6,,8,12,3,2,18,3,47,39,XBOXONE,6I14Rn4sP0ygBYHemq0S2w
43,1,14/04/2017,BR,1,3,3,11,,1,0,17,170,351,809,40,,106,3,4,15,1,9,18,9,38,36,XBOXONE,bERwDgx9N0SFuUUjL-yttw
18,1,14/04/2017,BR,2,3,5,14,,1,0,14,137,277,686,197,,60,1,11,15,3,5,19,9,64,62,XBOXONE,Co9_OLS3REehStnpSM45Cw
0,1,14/04/2017,BR,1,1,5,13,,1,0,27,251,584,990,379,,12,2,43,16,6,38,28,33,115,98,XBOXONE,jp63-CgzqUG-A97DnoAvAQ
146,1,14/04/2017,CA,1,2,2,4,,1,0,11,170,243,545,96,,60,,2,17,,5,11,2,8,22,XBOXONE,c8vrgcDw7kO-caNvqr_iWg
0,0,14/04/2017,CA,1,4,8,19,,1,0,12,206,419,895,106,,,,8,13,,11,19,6,39,34,XBOXONE,GoDe_H83-0SCpe3rmTloBg
0,0,14/04/2017,CA,1,1,3,15,2,1,1,43,167,308,1655,,110,60,,4,,,,,,,,XBOXONE,QaFhWpp390uJP9Qm6UF2KA
39,1,14/04/2017,CA,1,4,8,16,,1,0,16,140,287,408,191,,120,,,15,1,2,11,1,7,21,XBOXONE,QaSJ4IDORU-h17oUyDvy7w
2,1,14/04/2017,DE,1,8,21,39,3,1,1,20,166,367,559,173,,60,1,14,15,,2,5,,,,XBOXONE,YB8wQnhhs0eLJRhK-kvGQw
150,1,14/04/2017,FR,1,2,5,31,,1,0,13,97,235,556,583,,6,,5,14,2,13,15,10,83,49,XBOXONE,bUCSIKs8DU6TrvLVVKbvag
14,1,14/04/2017,GB,1,3,9,13,,1,0,10,137,228,360,244,,,,1,14,,2,15,3,2,18,XBOXONE,6KuGwCczZkyLx9LHeoEO_w
2,1,14/04/2017,GB,1,4,4,16,,1,0,20,179,303,614,227,,78,,21,16,5,8,18,8,35,33,XBOXONE,7WS5-WKndUKMrRkwiN9S6A
4,1,14/04/2017,GB,1,1,4,12,,1,0,12,74,252,451,173,110,,,2,13,1,2,15,,7,22,XBOXONE,ABpSvWnkQkeH_22WVOQV4g
2,1,14/04/2017,GB,1,5,9,24,,1,0,15,163,283,1469,133,,119,,19,12,3,13,13,11,74,40,XBOXONE,aFxM6t_vFEKfnx131Skujw
75,1,14/04/2017,GB,1,4,9,18,,1,0,13,129,276,429,102,,198,1,6,15,2,12,16,2,6,22,XBOXONE,bAG1oxT2JE6aBlfU0KJTSQ
0,0,14/04/2017,GB,1,2,6,16,,1,0,16,152,419,758,293,,,,19,13,2,35,25,4,40,38,XBOXONE,dlxexnA0n0ue5pve8Mv23w
0,1,14/04/2017,GB,1,3,13,24,2,1,1,13,235,578,1132,106,,138,,24,9,,,,,,,XBOXONE,jj4jfMf8i0CXxm_L2GC3xA
0,0,14/04/2017,GB,1,23,27,32,,1,0,21,229,416,627,75,220,366,,3,7,3,4,17,3,12,18,XBOXONE,naMHtVwB8kGovoEzcYBayg
0,0,14/04/2017,GB,1,2,8,28,,1,0,42,190,333,571,191,,,,11,14,,18,16,,36,36,XBOXONE,s2-6v2jLPE6NDBdydpG2Ug
0,1,14/04/2017,GB,1,2,4,35,,1,0,27,235,450,2048,312,,123,2,22,11,,28,27,15,219,129,XBOXONE,tp6EP5v-wEqt3lJ9QPTg1w
7,1,14/04/2017,GR,1,2,4,9,,1,0,18,119,268,772,246,,18,2,8,13,2,13,20,7,40,28,XBOXONE,_QUgkX0Zkk65A0GXEkTg-Q
0,1,14/04/2017,MX,1,2,4,8,,1,0,12,94,172,336,10,,,,3,15,1,,12,4,8,22,XBOXONE,jv50O7Rs70CclkLCt_bvdQ
0,0,14/04/2017,NZ,1,1,7,21,2,1,1,17,157,295,583,207,,,2,13,14,,,,,,,XBOXONE,Gayfl43h8kK2BEnh7PMwKQ
3215,1,14/04/2017,PL,1,3,6,9,,1,0,12,91,275,695,738,,19,,4,14,,11,16,5,18,25,XBOXONE,lOjjG6KKlkmpJAec8ZdeSg
0,0,14/04/2017,PR,1,1,1,4,4,1,1,12,120,324,641,223,,29,2,7,14,3,14,20,3,10,7,XBOXONE,WDKy26KTiEumgiyrLNGGvg
88,1,14/04/2017,US,1,2,5,8,,1,0,10,53,152,324,39,140,,,,11,,4,14,1,8,19,XBOXONE,06GSlif980iIy_42AVGB6A
0,0,14/04/2017,US,1,1,2,14,3,1,1,12,75,220,1058,122,,120,,4,16,,2,4,,,,XBOXONE,75iY8ZieI06ceKJjqJRiAQ
101,1,14/04/2017,US,1,4,5,21,,1,0,17,241,477,1278,208,,102,1,26,15,1,27,22,12,82,70,XBOXONE,HQBkqH59dEOlPujoWNIy-w
9,1,14/04/2017,US,1,1,2,31,,1,0,10,70,210,747,287,,,,3,12,,21,20,9,87,61,XBOXONE,rA__8TNDSkazaM3L2e3YcA
162,1,14/04/2017,US,1,5,7,21,,1,0,20,162,282,464,11,,289,1,2,12,,1,13,2,9,22,XBOXONE,sfYuW3LjXUufaSgCgXjmxA
3,1,14/04/2017,US,1,6,11,21,,1,0,11,110,184,385,6,140,6,,9,13,1,8,14,1,44,33,XBOXONE,si_X7gy-q0i71gb8m6cXQQ
1,1,14/04/2017,US,2,2,12,30,,1,0,18,235,545,2029,381,,14,1,20,16,4,57,48,10,122,70,XBOXONE,YbGGxGtbKUqLHghGXmNB5Q
0,0,14/04/2017,US,1,1,4,12,,1,0,13,184,275,533,186,,78,1,24,16,,12,15,2,35,31,XBOXONE,yddRDsjqpE--FJsm0q3Cdw
0,0,14/04/2017,US,1,2,3,7,3,1,1,10,85,166,283,12,,,1,2,14,,,4,,,,XBOXONE,ZbK-DB-JGUSI_bLVBaFXXw
0,0,15/04/2017,AR,1,2,3,12,,1,0,16,109,176,650,129,,66,,2,13,,,17,3,41,36,PS4,T9j2jLmk9kmhLb7q9SeRdQ
8,1,15/04/2017,BE,1,2,2,5,4,1,1,16,99,221,766,242,,18,,4,14,,2,15,3,68,51,PS4,ev5szxw2zUCZkSCJXsBjcg
0,1,15/04/2017,BE,1,2,4,17,4,1,1,16,130,311,601,281,,6,3,16,12,2,22,25,8,34,38,PS4,gZ6_gel4wUy5yR7z18V30A
17,1,15/04/2017,BR,1,4,9,16,,1,0,17,176,412,600,64,220,,,4,14,6,19,23,2,25,33,PS4,a0XJGKt7dUCtJZ4uWadDgQ
11,1,15/04/2017,BR,1,1,3,12,,1,0,21,202,601,1202,37,250,,,8,14,1,44,38,1,41,38,PS4,eKc19fJDEU6VZ8t09ZhWTw
1,1,15/04/2017,BR,1,1,1,2,,1,0,14,83,161,270,253,,,,2,15,1,3,16,,5,18,PS4,HS9bt--SiEyyuhWxF-tUBw
22,1,15/04/2017,BR,1,1,6,18,,1,0,14,111,251,399,210,,59,2,3,13,3,11,23,3,18,22,PS4,uqEQPbeq20CX_j6GIP_oJA
1,1,15/04/2017,BR,1,2,3,10,,1,0,22,141,977,4071,260,170,64,,23,14,12,44,35,24,118,81,PS4,vv8HXJOtLU6aSFp9j_pQ_Q
3,1,15/04/2017,CA,1,2,5,9,,1,0,11,150,401,556,1,,,1,2,12,,2,14,1,2,13,PS4,_LDLQp4Q20Ga5Lk-dFz40A
0,1,15/04/2017,CA,1,3,7,13,,1,0,12,76,817,899,150,,114,1,1,14,1,,12,1,8,13,PS4,W8klVka-ZUOo6cPosE0OzA
0,1,15/04/2017,CZ,1,3,4,11,,1,0,42,217,333,443,84,155,,5,18,13,1,7,17,2,9,23,PS4,C4LRmFOnqEmjlqKYEIetzA
82,1,15/04/2017,DE,1,2,9,12,,1,0,18,143,453,695,252,,129,1,9,15,5,29,24,8,14,20,PS4,7jc_ri0pQEG7g5uDzgaQOA
0,0,15/04/2017,DE,1,1,1,2,2,1,1,13,85,138,192,7,,,,3,3,,,,,,,PS4,9KmqnerTeEedIN9OghVJ5A
69,1,15/04/2017,DE,1,6,13,19,,1,0,13,193,429,539,56,220,24,,18,14,,35,26,2,24,26,PS4,cby9KI9OqUOvsw-B7swIBA
3,1,15/04/2017,DE,1,2,4,8,,1,0,9,63,141,221,246,,,,3,13,,4,18,,2,21,PS4,cls9Y9hQp0is6SAMquW-jg
67,1,15/04/2017,DE,1,3,16,33,,1,0,19,218,612,1052,162,,,1,26,14,3,46,27,8,47,35,PS4,eWeYnOtVEkCZIJMhmEaICw
0,0,15/04/2017,DE,1,5,10,22,,1,0,24,126,306,670,279,,11,,8,14,3,13,19,6,27,38,PS4,Oeu2nbrcDkmAom2pZLRMxA
28,1,15/04/2017,DE,1,2,2,4,,1,0,12,110,194,428,271,,,1,4,13,2,4,15,2,9,21,PS4,rbdx9ZzKFEmyR3y-T4uVvA
0,1,15/04/2017,DE,1,1,2,8,,1,0,13,72,144,344,343,,,,7,15,1,7,13,3,19,29,PS4,rCeQquzldECOzh56A3aQOA
73,1,15/04/2017,DE,1,3,5,22,,1,0,15,149,373,796,395,,12,2,6,13,3,11,19,5,40,43,PS4,v_PtMcAvEkGwOmuSLQbuYg
6,1,15/04/2017,DE,1,1,3,12,,1,0,15,133,363,509,269,,,1,3,12,2,12,17,1,16,22,PS4,WFYbkFPCgkusEFF1kCfekA
171,1,15/04/2017,DE,1,4,7,15,,1,0,16,106,192,388,298,,18,,5,15,,7,13,2,18,23,PS4,xHQ_qa_v-02FrWmAHKw_9A
306,1,15/04/2017,DE,1,1,3,10,5,1,1,18,171,366,1434,310,,6,1,25,13,4,59,39,13,176,130,PS4,zKMN-c3_pE-Ux8AiRorRDQ
1,1,15/04/2017,ES,2,5,12,32,,1,0,16,289,539,1684,268,,309,1,66,12,13,62,46,30,151,114,PS4,0LPYBE8NH020dd-Qvjrbvw
7,1,15/04/2017,ES,1,1,2,7,,1,0,11,111,288,448,199,125,13,,5,12,,1,15,1,13,32,PS4,H6yrgmo5nEOFaWlg3C7yZQ
60,1,15/04/2017,ES,1,2,3,16,,1,0,20,214,402,1325,233,110,6,,17,13,3,19,19,26,161,124,PS4,lsAgAx_8xE-MQRs2xrywVg
0,1,15/04/2017,ES,1,3,5,18,,1,0,18,130,274,751,273,,6,1,6,16,1,12,16,5,56,39,PS4,PVY3JP4hF0m21xouJKUepA
0,0,15/04/2017,ES,2,3,5,16,,1,0,17,211,501,945,251,,36,1,30,13,4,37,25,18,87,68,PS4,vec9NldZG0W58x3YsEQuOQ
34,1,15/04/2017,ES,1,1,2,12,,1,0,15,91,187,353,639,,118,,8,12,,12,17,1,43,63,PS4,YppxqGpiA06vAEsjvDyVRQ
0,1,15/04/2017,FR,1,4,11,26,,1,0,18,160,382,708,,,,,14,16,2,28,26,2,37,27,PS4,6IBt0w_KDkirse4FQrtqgg
32,1,15/04/2017,FR,1,2,10,14,,1,0,8,56,143,399,,,,,2,12,,4,8,1,3,17,PS4,cMFENPL_z0qU6uS2pUntBQ
14,1,15/04/2017,FR,1,2,7,22,,1,0,8,64,143,235,57,110,126,,2,11,,3,13,,7,13,PS4,F4QtDbtFb0KuTW4fl-FdzQ
374,1,15/04/2017,FR,1,3,4,22,,1,0,21,193,339,972,192,,282,1,29,12,5,13,21,23,138,100,PS4,pvnlBJyedE-BN3qfA9Vj1g
205,1,15/04/2017,FR,1,2,4,8,,1,0,13,68,222,544,23,,83,,1,11,2,3,12,,,15,PS4,vRQT9jkwVUaOhCgLUIqJTA
0,0,15/04/2017,GB,1,2,4,12,2,1,1,19,116,260,763,22,220,,,2,6,,,,,,,PS4,0vYEZPSp4EmZmzFhb4Kgvw
46,1,15/04/2017,GB,1,3,8,12,,1,0,9,62,126,196,36,220,,,2,11,,1,14,,,18,PS4,aHKP1I45wkWC95ind97oCg
2,1,15/04/2017,GB,1,1,2,8,,1,0,17,165,408,734,259,,,,7,15,1,6,16,2,22,31,PS4,BtiBqPAcLEqm6DvN3fiJhQ
0,0,15/04/2017,GB,1,1,3,14,,1,0,16,195,480,1217,169,110,6,1,34,14,4,49,28,13,119,88,PS4,jPnLKNZQd0i4U9HrMFJ7lQ
